population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,14,45-49 years,508,Chronic respiratory diseases,1,Number,2007,418.3051019099734,622.0630799306032,257.9965198740623
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,15,50-54 years,508,Chronic respiratory diseases,1,Number,2007,450.5525402447898,600.2600629536086,312.0157974331595
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,15,50-54 years,508,Chronic respiratory diseases,1,Number,2007,382.8520448071927,571.3461993556227,250.3292270337172
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,16,55-59 years,508,Chronic respiratory diseases,1,Number,2007,504.9880977705149,664.5534498765182,378.7574660921054
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,16,55-59 years,508,Chronic respiratory diseases,1,Number,2007,326.93759159109413,463.1718711799026,216.60129734950888
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,17,60-64 years,508,Chronic respiratory diseases,1,Number,2007,410.0090766293517,529.3032533754514,297.6516865127102
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,17,60-64 years,508,Chronic respiratory diseases,1,Number,2007,245.6050885730785,343.78047387031404,166.15387864857672
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,18,65-69 years,508,Chronic respiratory diseases,1,Number,2007,424.420398959667,538.7452326310326,325.1841029641605
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,18,65-69 years,508,Chronic respiratory diseases,1,Number,2007,263.55680189593403,341.8465459385196,194.55112278736004
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,19,70-74 years,508,Chronic respiratory diseases,1,Number,2007,382.2940890982765,504.1182575834981,283.23270839508655
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,19,70-74 years,508,Chronic respiratory diseases,1,Number,2007,242.01725550297152,320.8265054609112,179.31906229547246
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,26,70+ years,508,Chronic respiratory diseases,1,Number,2007,1070.0704981727383,1381.0804861084198,838.275191965894
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,26,70+ years,508,Chronic respiratory diseases,1,Number,2007,768.2086108797079,969.0160596994176,595.9776307990095
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,9,20-24 years,526,Digestive diseases,1,Number,2007,151.96046583258183,225.6403777848355,98.28085414935798
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,9,20-24 years,526,Digestive diseases,1,Number,2007,170.88461766465642,263.73318493426734,107.09895742673716
