population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
1,All Population,44,Population,69,Singapore,1,Male,9,20-24 years,1,Number,2007,172030.630270515,174285.7697627074,169782.97752815846
1,All Population,44,Population,69,Singapore,2,Female,9,20-24 years,1,Number,2007,175476.34426880314,177776.65342470093,173183.67181974996
1,All Population,44,Population,69,Singapore,1,Male,9,20-24 years,1,Number,2008,187494.39656303806,190047.40360788396,185003.91236373133
1,All Population,44,Population,69,Singapore,2,Female,9,20-24 years,1,Number,2008,184485.0653305147,186997.0959836511,182034.55401585123
1,All Population,44,Population,69,Singapore,1,Male,9,20-24 years,1,Number,2009,209214.1079870814,212028.5752199871,206479.7791668636
1,All Population,44,Population,69,Singapore,2,Female,9,20-24 years,1,Number,2009,196997.2247744795,199647.34354245174,194422.56480347482
1,All Population,44,Population,69,Singapore,1,Male,9,20-24 years,1,Number,2010,230958.1986805455,247124.8265673875,214811.21279148257
1,All Population,44,Population,69,Singapore,2,Female,9,20-24 years,1,Number,2010,212717.90977866136,227607.75266756903,197846.1576297028
1,All Population,44,Population,69,Singapore,1,Male,9,20-24 years,1,Number,2011,247064.9959178358,250233.5505895787,243536.0876959245
1,All Population,44,Population,69,Singapore,2,Female,9,20-24 years,1,Number,2011,230929.94687125768,233891.57305907915,227631.50070662762
1,All Population,44,Population,69,Singapore,1,Male,9,20-24 years,1,Number,2012,254290.7223237781,257739.8332696452,250663.35766006322
1,All Population,44,Population,69,Singapore,2,Female,9,20-24 years,1,Number,2012,243801.67558050202,247108.51674317234,240323.93335351988
1,All Population,44,Population,69,Singapore,1,Male,9,20-24 years,1,Number,2013,246370.62773764587,249624.59020488305,243016.5869182454
1,All Population,44,Population,69,Singapore,2,Female,9,20-24 years,1,Number,2013,244245.94883788927,247471.84941537026,240920.83297526365
1,All Population,44,Population,69,Singapore,1,Male,9,20-24 years,1,Number,2014,227561.2090714063,230688.43258837628,224622.7993408837
1,All Population,44,Population,69,Singapore,2,Female,9,20-24 years,1,Number,2014,235902.66725559495,239144.5219274347,232856.54750720426
1,All Population,44,Population,69,Singapore,1,Male,9,20-24 years,1,Number,2015,204575.71226738108,207350.47374463163,201659.57613512044
1,All Population,44,Population,69,Singapore,2,Female,9,20-24 years,1,Number,2015,220755.72375786462,223749.94272636704,217608.94873106052
1,All Population,44,Population,69,Singapore,1,Male,9,20-24 years,1,Number,2016,182221.82124713657,184503.85772904527,179793.85633490802
1,All Population,44,Population,69,Singapore,2,Female,9,20-24 years,1,Number,2016,201791.35931883974,204318.47292437762,199102.64543888913
1,All Population,44,Population,69,Singapore,1,Male,9,20-24 years,1,Number,2017,159702.49594888778,161912.5739484158,157343.11910909653
1,All Population,44,Population,69,Singapore,2,Female,9,20-24 years,1,Number,2017,180896.64182048655,183400.01965375416,178224.1516720303
1,All Population,44,Population,69,Singapore,1,Male,9,20-24 years,1,Number,2018,142333.06120175775,144412.16914205957,140408.27748042165
1,All Population,44,Population,69,Singapore,2,Female,9,20-24 years,1,Number,2018,161959.8523940634,164325.65561841257,159769.65368150853
1,All Population,44,Population,69,Singapore,1,Male,9,20-24 years,1,Number,2019,131864.49191443366,133576.52478495415,129963.97370152477
1,All Population,44,Population,69,Singapore,2,Female,9,20-24 years,1,Number,2019,146989.91398734672,148898.32436172265,144871.3981944209
1,All Population,44,Population,69,Singapore,1,Male,10,25-29 years,1,Number,2007,312747.7090111099,316847.50047600537,308661.5282843453
1,All Population,44,Population,69,Singapore,2,Female,10,25-29 years,1,Number,2007,234255.38086698166,237326.2209831924,231194.73551336364
1,All Population,44,Population,69,Singapore,1,Male,10,25-29 years,1,Number,2008,352435.9552666599,357234.87989132333,347754.5557477997
1,All Population,44,Population,69,Singapore,2,Female,10,25-29 years,1,Number,2008,242425.92494656023,245726.90409893595,239205.7863896261
1,All Population,44,Population,69,Singapore,1,Male,10,25-29 years,1,Number,2009,343977.58333075483,348604.96552047925,339481.9600257135
1,All Population,44,Population,69,Singapore,2,Female,10,25-29 years,1,Number,2009,243480.90799845778,246756.35172447126,240298.7284106735
1,All Population,44,Population,69,Singapore,1,Male,10,25-29 years,1,Number,2010,298034.54978038516,318896.39270801545,277198.05340463447
1,All Population,44,Population,69,Singapore,2,Female,10,25-29 years,1,Number,2010,240441.08868009105,257271.5005537772,223631.125283042
1,All Population,44,Population,69,Singapore,1,Male,10,25-29 years,1,Number,2011,245712.58969365948,248863.80005062488,242202.99832165695
1,All Population,44,Population,69,Singapore,2,Female,10,25-29 years,1,Number,2011,233751.44196747104,236749.25321435032,230412.69548750852
1,All Population,44,Population,69,Singapore,1,Male,10,25-29 years,1,Number,2012,224232.53976487188,227273.95197313113,221033.94414264342
1,All Population,44,Population,69,Singapore,2,Female,10,25-29 years,1,Number,2012,227635.99940735265,230723.57495888852,224388.8546712254
1,All Population,44,Population,69,Singapore,1,Male,10,25-29 years,1,Number,2013,228044.75006367362,231056.67183524076,224940.19410508737
1,All Population,44,Population,69,Singapore,2,Female,10,25-29 years,1,Number,2013,224078.71936095174,227038.259421399,221028.1561570622
1,All Population,44,Population,69,Singapore,1,Male,10,25-29 years,1,Number,2014,243318.89164654844,246662.66259584666,240177.00906580576
1,All Population,44,Population,69,Singapore,2,Female,10,25-29 years,1,Number,2014,226516.91773866914,229629.7902490347,223591.99253754478
1,All Population,44,Population,69,Singapore,1,Male,10,25-29 years,1,Number,2015,259057.22764939847,262570.9488419972,255364.48165575718
1,All Population,44,Population,69,Singapore,2,Female,10,25-29 years,1,Number,2015,235640.3625138031,238836.469193046,232281.4135568156
1,All Population,44,Population,69,Singapore,1,Male,10,25-29 years,1,Number,2016,269525.14005129,272900.5107844933,265933.92590070533
1,All Population,44,Population,69,Singapore,2,Female,10,25-29 years,1,Number,2016,248917.00530516857,252034.29215471368,245600.3786201663
1,All Population,44,Population,69,Singapore,1,Male,10,25-29 years,1,Number,2017,263446.11974055064,267091.87662017986,259554.07866908447
1,All Population,44,Population,69,Singapore,2,Female,10,25-29 years,1,Number,2017,256518.32561655596,260068.2106985171,252728.6328328224
1,All Population,44,Population,69,Singapore,1,Male,10,25-29 years,1,Number,2018,247350.56359214315,250963.69828102316,244005.61805211438
1,All Population,44,Population,69,Singapore,2,Female,10,25-29 years,1,Number,2018,255718.61975185972,259453.98951289838,252260.51218089132
1,All Population,44,Population,69,Singapore,1,Male,10,25-29 years,1,Number,2019,227230.26922898393,230180.46214634393,223955.27640169492
1,All Population,44,Population,69,Singapore,2,Female,10,25-29 years,1,Number,2019,246366.63015907994,249565.27569972634,242815.8314499464
1,All Population,44,Population,69,Singapore,1,Male,11,30-34 years,1,Number,2007,194171.39710980354,196716.77862231634,191634.46591031447
1,All Population,44,Population,69,Singapore,2,Female,11,30-34 years,1,Number,2007,212061.3687566018,214841.2688633408,209290.69753204056
1,All Population,44,Population,69,Singapore,1,Male,11,30-34 years,1,Number,2008,193593.61074988224,196229.6674061964,191022.11081443095
1,All Population,44,Population,69,Singapore,2,Female,11,30-34 years,1,Number,2008,226274.93145444806,229355.9915003199,223269.32621068254
1,All Population,44,Population,69,Singapore,1,Male,11,30-34 years,1,Number,2009,222219.33275778944,225208.75367487015,219315.03183938903
